Sample	r_processed	r_with_adapters	bp_processed	quality_trimmed	bp_written	percent_trimmed
SRR1039508_R1	47861	15683	3015243	12437	2982227	1.0949697918210903
SRR1039508_R2	47861	15731	3015243	15593	2978980	1.2026559716745882
SRR1039509_R1	48216	16056	3037608	11960	3004851	1.078381410636264
SRR1039509_R2	48216	16146	3037608	19627	2996904	1.340001738209802
SRR1039512_R1	49712	15943	3131856	31766	3079364	1.6760668434308603
SRR1039512_R2	49712	15896	3131856	41148	3070250	1.967076391762584
SRR1039513_R1	46995	15450	2960685	42403	2897808	2.1237315013248623
SRR1039513_R2	46995	15367	2960685	57251	2882979	2.6245953216907574
